partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
330^_0805,330^ 1/8W 1% 0805,resistor,330^,0805,,250,,330^_0805,RESC2012X65,,
L0075,Rottendog Amusements 7 seg dis,led,,L0075,,500,,L0075,L0075,,
100UF_35V_ALE,CAP ALE 100UF 35V 20% SMD,capacitor,100UF,CAPAE660X800N,,250,,100UF_35V_ALE,CAPAE660X800N,,
0^_AXIAL,0^ 0.25W AXIAL LF,resistor,0^,AXIAL,,100,,0^_AXIAL,SFR16S,,
10^_0603,10^ 5% 0.25W,resistor,10^,RESC1608X60,,250,,10^_0603,RESC1608X60,,
SN74HCT240N,"IC, 74HCT240, DIP",ic,,DIL20-LARDO,,100,,SN74HCT240N,DIL20-LARDO,,
ICSM0196,Optotriac No ZC,ic,,ICSM0196,,250,,ICSM0196,ICSM0196,,
470^_0603,470^ 1/10W 1% 0603,resistor,470^,0603,,500,,470^_0603,RESC1608X60,,
3.3K_0603,3.3K 1/10W 1% 0603,resistor,3.3K,0603,,500,,3.3K_0603,RESC1608X60,,
1.2K_1W_AXIAL,1.2K 5% 0.25W AXIAL LF,resistor,1.2K,AXIAL,,250,,1.2K_1W_AXIAL,SFR16S,,
10M_0805_1%,RES 10M 1/8W 1% 0805,resistor,10M,0805,,100,,10M_0805_1%,RESC2012X65,,
10UF_1206_10%_25V,10uF 35V X5R 1206,capacitor,10UF,1206,,500,,10UF_1206_10%_25V,CAPC3216X135,,
MOC3052SM,MOC3010M,ic,,6-SMD,,250,,MOC3052SM,6-SMD,,
47UF_25V_RAD,CAP ALE 47uF 50V 10mm S/M,capacitor,47UF,UVR1E470MDD,,500,,47UF_25V_RAD,UVR1E470MDD,,
150^_0603,RES 150 OHM 1/10W 1% 0603 SMD,resistor,150^,0603,,250,,150^_0603,RESC1608X60,,
SN74HCT244N,IC SN74HCT244N,ic,,DIL20-LARDO,,250,,SN74HCT244N,DIL20-LARDO,,
27K_0805_0.125W,27K 5% 1/8W 0805,resistor,27K,0805,,250,,27K_0805_0.125W,RESC2012X65,,
140K_0603,140K 1% 1/10W 0603,resistor,140K,0603,,250,,140K_0603,RESC1608X60,,
1UF_0603,1uF 25V X7R 0603,capacitor,1UF,0603,,250,,1UF_0603,CAPC1608X85,,
2.2K_0805,2.2K 1/8W 1% 0805,resistor,2.2K,0805,,500,,2.2K_0805,RESC2012X65,,
4.7UF_0805,CAP CER 4.7uF 16V Y5V 0805,capacitor,4.7UF,0805,,500,,4.7UF_0805,CAPC2012X110,,
470UF_35V_RAD,470uF ELECTROYLYTIC 35V 20%,capacitor,470UF,WCAP-ATG5_10X16(DXL),,100,,470UF_35V_RAD,WCAP-ATG5_10X16(DXL),,
100UF_35V_ALE,100UF 25V ALE AXIAL LF,capacitor,100UF,AXIAL,,100,,100UF_35V_ALE,CAPAE660X800N,,
LED_RED_0805,LOW PROF DISCRETE RED LF,led,RED,LEDC2012X110N_B,,500,,LED_RED_0805,LEDC2012X110N_B,,
MOC3063SR2M,Optical Triac Driver MOC3063,ic,,IC_6-SMD,,250,,MOC3063SR2M,IC_6-SMD,,
2.2UF_0603,2.2uF 50V X5R 0603,capacitor,2.2UF,0603,,250,,2.2UF_0603,CAPC1608X85,,
L,IRLML6402TRPBF,transistor,,INDC1608X95N-IPC,,500,,L,INDC1608X95N-IPC,,
220^_0805,220^ 5% 0.25W AXIAL LF,resistor,220^,AXIAL,,100,,220^_0805,RESC2012X65,,
27K_0805_0.125W,RES 27k 1/8W 5% 0805,resistor,27K,0805,,250,,27K_0805_0.125W,RESC2012X65,,
ULN2803A,ULN2803A OR E-ULN2803A,ic,,DIL18,,100,,ULN2803A,DIL18,,
FT232RL-REEL,FT232RL USB-UART Converter IC,ic,,SOP65P780X200-28N,,100,,FT232RL-REEL,SOP65P780X200-28N,,
4.02K_0603,4.02K 1.O% 1/4W 50PPM AXLF,resistor,4.02K,RESC1608X60,,100,,4.02K_0603,RESC1608X60,,
MOC3052SM,MOC3052,ic,,6-SMD,,500,,MOC3052SM,6-SMD,,
0.22UF_0603,0.22UF 630V Film Radial LF,capacitor,0.22UF,CAPC1608X85,,250,,0.22UF_0603,CAPC1608X85,,
PIC24FJ64GA306,PIC24FJ128GA306-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
