partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
MMBT2907ALT1,TSM0006,MMBT2907ALT1 Lead Free,transistor,,SOT23,,100,,MMBT2907ALT1,SOT23,,,1759,20,medium,2
49.9^_0805,RSM0071,RES 49.9^ 1/8W 1% 0805,resistor,49.9^,0805,,500,,49.9^_0805,RESC2012X65,,,1728,4,high,64
ATMEGA328-AUR,ICSM0193,ATMEGA328 8-BIT 32KB FLASH 32P,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,,1670,24,medium,2
47K_0603,R0072,47K 5% 0.25W CARBON FILM,resistor,47K,RESC1608X60,,100,,47K_0603,RESC1608X60,,,1668,14,low,4
LED_RED_0805,LSM0036,Red 2V 5mA 26.05mcd 0603,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,,1665,14,medium,62
SBD_40V_200MA,DSM0064,Schottky 40V 200mA 0603,diode,,0603,,250,,SBD_40V_200MA,SOD-523/0603,,,1602,7,medium,6
ATMEGA328-AUR,ICSM0076,ATMEGA16-16AU 44PIN TQFP LF,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,,1597,15,medium,2
GP_1000V_1A_SOD-123F,DSM0020,Zener Diode 36V 1/2W SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,,1531,16,medium,13
330^_0805,R0145,"RES 330^, 5%, 5W, Wirewound",resistor,330^,RESC2012X65,,100,,330^_0805,RESC2012X65,,,1531,16,low,12
43^_0805,RSM0113,RES 43R 1% 1/8W 0805,resistor,43^,0805,,100,,43^_0805,RESC2012X65,,,1531,16,high,132
1K_0805_1%_0.25W,RSM0148,"1K,.1%,1/8W,0805",resistor,1K,0805,,250,,1K_0805_1%_0.25W,RESC2012X65,,,1512,5,medium,8
PIC16F1513-I-SO,IC0224,IC PIC16F873-04I/SP,ic,,MICROCHIP_PIC16F1513-I-SO_2,,100,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,,1500,15,medium,2
MAX6970AAE+,IC0225,IC MAX6971ANG+,ic,,21-0056C_16_MXM-M,,100,,MAX6970AAE+,21-0056C_16_MXM-M,,,1500,17,medium,1
C0176,C0176,CAP 1000uF 50V Radial ALE,capacitor,1000UF,C0176,,250,,C0176,C0176,,,1430,6,high,1
10000PF_50V_AXL,CSM0215,10000pF 50V X7R 0805,capacitor,10000PF,0805,,250,,10000PF_50V_AXL,A103K15X7RF5TAA,,,1428,7,low,18
L,IC0246,LM2574N-5G SWITCHING REGULATOR,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,1416,15,medium,2
680^_2512,R0333,"680 Ohm, 1W, 5%, Metal Film",resistor,680^,RESC6332X71,,100,,680^_2512,RESC6332X71,,,1401,14,low,3
22PF_100V_AXIAL,C0146,22 pF 5% 100V cap axial,capacitor,22PF,AXIAL,,100,,22PF_100V_AXIAL,C410,,,1400,13,high,4
100UF_35V_ALE,C0150,100 uF 160V 20% RAD ALUM,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,,1400,14,low,44
100UF_35V_ALE,C0055,100uF 50V A/E,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,,1372,17,low,44
SBD_40V_200MA,DSM0095,Gen Purp 75V 200mA SOD323,diode,,SOD-523/0603,,250,,SBD_40V_200MA,SOD-523/0603,,,1357,7,medium,6
47UF_25V_RAD,C0172,47uF 400V Electrolytic Cap,capacitor,47UF,UVR1E470MDD,,250,,47UF_25V_RAD,UVR1E470MDD,,,1350,5,low,1
PIC24FJ64GA306,ICSM0148,PIC24FJ64GA306-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,,1296,10,medium,2
47UF_25V_RAD,CSM0108,47uF 50V 6.3mm Alum Elec,capacitor,47UF,UVR1E470MDD,,250,,47UF_25V_RAD,UVR1E470MDD,,,1280,6,low,1
680^_2512,RSM0340,680^ 1% 2W 2512,resistor,680^,2512,,250,,680^_2512,RESC6332X71,,,1280,5,high,3
3.3K_0603,R0018,3.3K 5% 0.25W,resistor,3.3K,RESC1608X60,,100,,3.3K_0603,RESC1608X60,,,1200,8,low,10
53.6K_0603,RSM0342,53.6K 1% 1/10W 0603,resistor,53.6K,0603,,100,,53.6K_0603,RESC1608X60,,,1060,7,high,5
86.6K_0805,RSM0103,RES 86.6k 1% 1/8W 0805,resistor,86.6K,0805,,500,,86.6K_0805,RESC2012X65,,,1044,2,high,2
RP2040,ICSM0300,ARM Cortex M0+ 32B RP2040,ic,,QFN40P700X700X90-57N,,100,,RP2040,QFN40P700X700X90-57N,,,1018,15,medium,5
1UF_0603,CSM0114,1uF Ceramic 16V 0603,capacitor,1UF,0603,,1000,,1UF_0603,CAPC1608X85,,,1000,1,medium,18
10UF_1206_10%_25V,CSM0227,10uF 35V 10% 2312 Tantalum,capacitor,10UF,CAPC3216X135,,1000,,10UF_1206_10%_25V,CAPC3216X135,,,1000,1,low,10
DUAL_50V_100MA,ICSM0301,LED Drvr 100mA shift register,ic,,SOT23-DOUBLEANODE,,250,,DUAL_50V_100MA,SOT23-DOUBLEANODE,,,1000,4,medium,1
2.2K_0805,RSM0402,2.2K 1/4W 1% 0805,resistor,2.2K,0805,,1000,,2.2K_0805,RESC2012X65,,,1000,1,high,3
22K_AXIAL,R0294,22K  5%  3W Metal Oxide,resistor,22K,SFR16S,,100,,22K_AXIAL,SFR16S,,,973,9,low,2
4.7K_0603,RSM0230,4.7K 1% 1/10W 0603,resistor,4.7K,0603,,250,,4.7K_0603,RESC1608X60,,,965,5,high,28
100PF_0603,CSM0159,"100pF 50V 1% 0603 C0G, NP0",capacitor,100PF,0603,,100,,100PF_0603,CAPC1608X85,,,960,6,high,25
2.2UF_0805_10%_50V,CSM0194,2.2uF 50V X5R 0805,capacitor,2.2UF,0805,,100,,2.2UF_0805_10%_50V,CAPC2012X110,,,960,6,high,4
10^_0603,RSM0209,10^ 1% .4W 0805,resistor,10^,0805,,100,,10^_0603,RESC1608X60,,,960,6,low,38
2^_0603,RSM0345,2^ 1/4W 1% 1206,resistor,2^,1206,,100,,2^_0603,RESC1608X60,,,960,6,low,14
1M_AXIAL,R0062,1M 1% 0.25W AXIAL LF,resistor,1M,AXIAL,,100,,1M_AXIAL,SFR16S,,,943,9,high,2
220K_0805,R0326,220K 3W 5% Metal Film,resistor,220K,RESC2012X65,,100,,220K_0805,RESC2012X65,,,918,8,low,1
1UF_0805_20%,CSM0087,CAP 1UF 16V CERAMIC X7R 0805,capacitor,1UF,0805,,100,,1UF_0805_20%,CAPC2012X110,,,909,14,high,2
30K_0603,RSM0198,30k 1% 2W 2512,resistor,30K,2512,,100,,30K_0603,RESC1608X60,,,906,13,low,12
3.6^_2512,RSM0250,3.6^ 1% 1/2W 1206,resistor,3.6^,1206,,250,,3.6^_2512,RESC6332X71,,,900,3,low,8
10^_0603,RSM0235,RES 10R 1/2W 1% 1206,resistor,10^,1206,,100,,10^_0603,RESC1608X60,,,880,10,low,38
VREG_SOT23-5,TSM0012,MOSFET N CH 20V LOW VG SOT23,transistor,,SOT23-5,,500,,VREG_SOT23-5,SOT23-5,,,870,2,medium,2
22UF_1206_10V,CSM0079,22UF 6.3V ALE,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,868,7,low,38
15K_0805_0.1%,RSM0143,15K 0.1% 1/8W 0805,resistor,15K,0805,,100,,15K_0805_0.1%,RESC2012X65,,,868,7,high,2
GP_1000V_1A_SOD-123F,DSM0015,DIODE SCHOTTKY 20V 0.5A SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,,851,17,medium,13
LCD0017,LCD0017,12x2 Character display,other,,LCD0017,,100,,LCD0017,LCD0017,,,851,16,high,1
1000PF_0603,CSM0189,1000pF 5% 100V X7R 0603,capacitor,1000PF,0603,,100,,1000PF_0603,CAPC1608X85,,,840,15,high,30
10UF_1206_10%_25V,C0011,10uF 35V ALE AXIAL LF,capacitor,10UF,AXIAL,,100,,10UF_1206_10%_25V,CAPC3216X135,,,823,7,low,10
47UF_25V_RAD,C0126,CAP 47UF 16V 20% RADIAL A/E,capacitor,47UF,UVR1E470MDD,,100,,47UF_25V_RAD,UVR1E470MDD,,,815,22,low,1
PIC18F46K22-I/PT,ICSM0149,PIC18F46K22-I/PT,ic,,FLASH_44TQFP,,100,,PIC18F46K22-I/PT,FLASH_44TQFP,,,804,11,medium,1
VREG_SOT23-5,ICSM0218,Temperature Sens Linear SOT23,ic,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,,804,13,medium,2
100PF_50V_AXIAL,C0133,100PF 50V AXIAL CERAMIC,capacitor,100PF,AXIAL,,100,,100PF_50V_AXIAL,C410,,,800,13,high,2
680^_2512,RSM0248,0^ 1W 2512,resistor,0^,2512,,250,,680^_2512,RESC6332X71,,,800,3,medium,3
24AA02E48T-I/OT,ICSM0159,24AA02E48 256B EEP w/ MAC ADDR,ic,,SOT-23-5,,100,,24AA02E48T-I/OT,SOT-23-5,,,746,8,medium,1
15K_0805_0.1%,R0070,15K 1% 1/4W AXIAL LF,resistor,15K,AXIAL,,250,,15K_0805_0.1%,RESC2012X65,,,740,4,low,2
74HC238,IC0285,"IC, 74HC240N, 20 PIN DIP",ic,,DIL16-LARDO,,100,,74HC238,DIL16-LARDO,,,700,16,medium,2
LED_RED_0805,L0077,FYS-8019AUR-11 (Red),led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,,700,2,medium,62
LED_RED_0805,L0080,FYS-8017CUR-11 (Red),led,RED,LEDC2012X110N_B,,250,,LED_RED_0805,LEDC2012X110N_B,,,700,2,medium,62
12PF_0603,CSM0145,12pF 50V NPO 0402,capacitor,12PF,0402,,250,,12PF_0603,CAPC1608X85,,,696,3,low,73
220^_0603,RSM0156,220^ 1/10W 1% 0603,resistor,220^,0603,,100,,220^_0603,RESC1608X60,,,630,10,high,6
4.7UF_0805,CSM0217,Capacitor Ceramic 4.7uF 0603,capacitor,4.7UF,0603,,250,,4.7UF_0805,CAPC2012X110,,,600,2,low,36
1K_0603,R0314,"RES 1K OHM,1WATT5%**SEE OBS**",resistor,1K,RESC1608X60,,500,,1K_0603,RESC1608X60,,,600,1,low,215
1M_0603_1%,RSM0366,1M^ 1% 1/10W 0603,resistor,1M,0603,,100,,1M_0603_1%,RESC1608X60,,,594,15,medium,26
75K_0603,RSM0267,75K 1% 1/10W 0603,resistor,75K,0603,,100,,75K_0603,RESC1608X60,,,544,6,high,3
7.15K_0805_0.1%,RSM0293,7.15K 0.1% 1/8W 0805,resistor,7.15K,0805,,100,,7.15K_0805_0.1%,RESC2012X65,,,504,5,high,1
220K_0805,RSM0294,220K 1% 1/8W 0805,resistor,220K,0805,,100,,220K_0805,RESC2012X65,,,504,5,high,1
470UF_35V_RAD,C0138,CAP 470uF 50V Radial ALE,capacitor,470UF,WCAP-ATG5_10X16(DXL),,100,,470UF_35V_RAD,WCAP-ATG5_10X16(DXL),,,500,5,low,4
PIC24FJ64GA306,ICSM0134,PIC24FJ128GB106-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,,500,9,medium,2
120^_0805,RSM0138,120^ 1/8W 1% 0805,resistor,120^,0805,,100,,120^_0805,RESC2012X65,,,486,13,high,6
165^_1206,RSM0289,165^ 1% 1/4W 0805,resistor,165^,0805,,100,,165^_1206,RESC3216X70,,,475,5,low,29
75^_0805,RSM0199,75^ 1% 3W 2512,resistor,75^,2512,,100,,75^_0805,RESC2012X65,,,456,4,low,29
PIC24FJ64GA306,ICSM0115,PIC24FJ256GB106-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,,455,7,medium,2
1000UF_50V_RAD,C0131,1000uF 35V Rad ALE,capacitor,1000UF,RADIAL0.4_POL,,100,,1000UF_50V_RAD,RADIAL0.4_POL,,,450,5,low,3
SN74HCT08DRE4,IC0299,SN74HCT00N,ic,,IC_14-SOIC,,100,,SN74HCT08DRE4,IC_14-SOIC,,,450,6,medium,4
15K_0805_0.1%,RSM0056,15k 1/8W 1% 0805,resistor,15K,0805,,100,,15K_0805_0.1%,RESC2012X65,,,442,6,high,2
220^_0805,R0132,RES 220^ 5% 0.50W,resistor,220^,RESC2012X65,,100,,220^_0805,RESC2012X65,,,440,9,low,72
0.3^_0805,RSM0105,RES 0.3R 1% 1/4W 0805,resistor,0.3^,0805,,100,,0.3^_0805,RESC2012X65,,,440,6,high,1
10UF_1206_10%_25V,CSM0086,10uF 16V Tantalum LESR 3216,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,,400,5,low,10
1UF_0603,CSM0118,.1uF 25V X7R 1206,capacitor,1UF,1206,,500,,1UF_0603,CAPC1608X85,,,400,1,low,18
"74HC164D,653",IC0272,74HC161N  COUNTER 44MHZ DIP 16,ic,,SOIC127P600X175-14N,,100,,"74HC164D,653",SOIC127P600X175-14N,,,400,5,medium,4
ATMEGA328P-32,ICSM0282,ATMEGA328PB-AUR,ic,,VQFN32,,100,,ATMEGA328P-32,VQFN32,,,400,6,medium,1
TCST1103,IC0309,TCST1103,ic,,TCST1103,,250,,TCST1103,TCST1103,,,384,2,medium,5
LED_RED_0805,LSM0050,Red 2V 20mA 54mcd 0603,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,,377,8,medium,62
20K_AXIAL,R0228,20K 1% 0.25W,resistor,20K,SFR16S,,100,,20K_AXIAL,SFR16S,,,374,5,low,7
22UF_0805,CSM0151,22uF 35V 20% 0805,capacitor,22UF,0805,,250,,22UF_0805,CAPC2012X110,,,360,2,high,7
100UF_35V_ALE,CSM0216,100uF 10V 20% Aluminum,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,,357,7,low,44
SBD_20V_500MA,DSM0093,Schottky 40V 500mA SOD123,diode,,SODFL3718X115,,100,,SBD_20V_500MA,SODFL3718X115,,,357,5,medium,6
VREG_SOT23-5,ICSM0317,LED Drvr Regulator PWM SOT23-5,ic,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,,357,7,medium,2
SBD_40V_200MA,TSM0126,N-CH GET 50V 200mA 3.5SO SOT23,transistor,,SOD-523/0603,,100,,SBD_40V_200MA,SOD-523/0603,,,357,5,medium,6
1N5819HW-7-F,D0002,1N5819,diode,,SODFL3718X115,,100,,1N5819HW-7-F,SODFL3718X115,,,356,9,medium,7
22UF_1206_10V,CSM0091,CAP ALE 22uF 16V 5mm,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,348,2,low,38
1000PF_0603,CSM0144,1000pF 16V X7R 0402,capacitor,1000PF,0402,,100,,1000PF_0603,CAPC1608X85,,,348,3,low,30
1PF_0402,CSM0146,1pF 50V NPO 0402,capacitor,1PF,0402,,100,,1PF_0402,RESC1005X40,,,348,3,high,1
2200PF_0603,CSM0148,2200pF 50V X7R 0402,capacitor,2200PF,0402,,100,,2200PF_0603,CAPC1608X85,,,348,3,low,17
GP_1000V_1A_SOD-123F,DSM0024,DIODE SCHOTTKY 30V 2A SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,,348,2,medium,13
LED_RED_0805,LSM0031,Red 0603,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,,348,3,medium,62
680^_2512,R0039,680^ 5% 0.25W AXIAL LF,resistor,680^,AXIAL,,100,,680^_2512,RESC6332X71,,,320,6,low,3
SN74HC574N,IC0287,SN74HC574N,ic,,DIL20-LARDO,,100,,SN74HC574N,DIL20-LARDO,,,300,3,medium,2
62^_AXIAL,R0008,62^ 5% 0.25W,resistor,62^,SFR16S,,250,,62^_AXIAL,SFR16S,,,300,1,low,1
100K_0603,R0061,100K 1% 0 25W M,resistor,100K,RESC1608X60,,100,,100K_0603,RESC1608X60,,,300,3,low,65
9.09K_0805,RSM0234,9.09K 1% 1/10W 0603,resistor,9.09K,0603,,100,,9.09K_0805,RESC2012X65,,,280,5,low,1
75^_0805,RSM0381,75^ 1% 1/10W 0603,resistor,75^,0603,,100,,75^_0805,RESC2012X65,,,280,5,low,29
10M_0805_1%,R0074,10M 5% 0.25W AXIAL LF,resistor,10M,AXIAL,,100,,10M_0805_1%,RESC2012X65,,,266,8,low,3
VREG_SOT23-5,DSM0029,DIODE SWITCHING 75V .2A SOT23,diode,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,,250,6,medium,2
LED_RED_0805,LLF0075,LED IND 5MM RED/GRN WHT DIFF,led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,,250,6,medium,62
VREG_SOT23-5,TSM0018,Transistor NPN 65V .1A SOT23,transistor,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,,250,6,medium,2
10UF_1206_10%_25V,CSM0155,10uF 25V X5R 10% 1206,capacitor,10UF,1206,,100,,10UF_1206_10%_25V,CAPC3216X135,,,217,8,high,10
PCF85063ATT/AJ,ICSM0309,PCF85063ATT/AJ,ic,,TSSOP8,,100,,PCF85063ATT/AJ,TSSOP8,,,217,8,medium,5
SBD_40V_200MA,DSM0090,Schottky 30V 200mA SC-79,diode,,SOD-523/0603,,100,,SBD_40V_200MA,SOD-523/0603,,,210,5,medium,6
22K_AXIAL,RSM0228,22K 1% 1/10W 0603,resistor,22K,0603,,100,,22K_AXIAL,SFR16S,,,210,3,low,2
100UF_35V_ALE,C0151,ALUM 100UF 63V 20% RADIAL,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,,200,5,low,44
0.01UF_1210_500V,CSM0218,Capacitor Ceramic 0.01uF 0603,capacitor,0.01UF,0603,,100,,0.01UF_1210_500V,CAPC3225X135,,,200,2,low,4
VREG_SOT23-5,ICSM0318,IC LiPo Charge Mgmt SOT23-5,ic,,SOT23-5,,100,,VREG_SOT23-5,SOT23-5,,,200,2,medium,2
1K_1206,RSM0193,1K 1% 1/4W 1206,resistor,1K,1206,,250,,1K_1206,RESC3216X70,,,200,1,high,3
150PF_0805,CSM0219,150pF 50V X7R 0603,capacitor,150PF,0603,,100,,150PF_0805,CAPC2012X110,,,180,2,low,4
330PF_0805,CSM0220,330pF 50V X7R 0603,capacitor,330PF,0603,,100,,330PF_0805,CAPC2012X110,,,180,2,low,2
23.2K_0805,R0004,23.2K 1% 0.25W,resistor,23.2K,RESC2012X65,,100,,23.2K_0805,RESC2012X65,,,180,4,low,1
4.02K_0603,RSM0081,4.02K 1/8W 1% 0805 SMD,resistor,4.02K,0805,,100,,4.02K_0603,RESC1608X60,,,174,2,low,7
0.03^_2512,RSM0116,RES 3R 1W 5% 2512,resistor,3^,2512,,100,,0.03^_2512,RESC6332X71,,,174,2,medium,2
LED_RED_0805,L0068A,"Cree RED, no standoff",led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,,160,2,medium,62
3.3K_0805_1%,RSM0063,RES 3.3k 1/8W 5% 0805,resistor,3.3K,0805,,100,,3.3K_0805_1%,RESC2012X65,,,154,7,high,4
23.2K_0805,RSM0174,23.2K 1% 1/8W 0805,resistor,23.2K,0805,,100,,23.2K_0805,RESC2012X65,,,154,6,high,1
CD74HCT14E,IC0304,CD74HCT151E,ic,,DIL14-LARDO,,100,,CD74HCT14E,DIL14-LARDO,,,150,3,medium,2
"74HCT4094D,112",IC0305,"74HCT163N,652",ic,,16-SOIC,,100,,"74HCT4094D,112",16-SOIC,,,150,3,medium,1
L,IC0307,PALCE16V8-15   PAL16R4,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,150,5,medium,2
L,IC0308,PALCE16V8-15    PAL16L8,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,150,5,medium,2
8.2K_0603,RSM0233,8.2K 1% 1/10W 0603,resistor,8.2K,0603,,100,,8.2K_0603,RESC1608X60,,,150,3,high,5
LED_RED_0805,L0085,LED LO-PROFILE RED WTR CLEAR,led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,,144,4,medium,62
100UF_35V_ALE,CSM0085,100uF 10V Tantalum LESR 6032,capacitor,100UF,CAPAE660X800N,,100,,100UF_35V_ALE,CAPAE660X800N,,,130,4,low,44
L,ICSM0101,SOLOMON SYSTECH SSD1926QL9,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,130,4,medium,2
PIC24FJ64GA306,ICSM0103,IC PIC24FJ256GB110-I/PF,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,,130,4,medium,2
L,ICSM0104,LM2704MF-ADJ/NOPB,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,130,4,medium,2
L,ICSM0105,ISL6292-2CR5Z-T LIPO CHARGER,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,130,4,medium,2
1.62K_0805_0.1%,R0106,1.62K 1% 0.25W,resistor,1.62K,RESC2012X65,,100,,1.62K_0805_0.1%,RESC2012X65,,,130,3,low,30
220^_0805,RSM0062,RES 20R 1/8W 5% 0805,resistor,20^,0805,,100,,220^_0805,RESC2012X65,,,130,6,medium,72
GP_1000V_1A_SOD-123F,DSM0053,Schottky 40V 2A SOD123F,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,,120,2,medium,13
9.09K_0805,RSM0241,9.09K 1/8W 1% 0805,resistor,9.09K,0805,,100,,9.09K_0805,RESC2012X65,,,120,2,high,1
100K_0603,RSM0394,100K 1% 1/16W 0402,resistor,100K,0402,,100,,100K_0603,RESC1608X60,,,120,1,low,65
47UF_25V_RAD,CSM0069,47UF 50V ELECT FK,capacitor,47UF,UVR1E470MDD,,100,,47UF_25V_RAD,UVR1E470MDD,,,104,6,low,1
PIC18F24J10-I/SS,ICSM0152,PIC18F24J10-I/SS-ND,ic,,FLASH_28-SSOP,,100,,PIC18F24J10-I/SS,FLASH_28-SSOP,,,104,4,medium,1
47K_0603,RSM0064,RES 47k 1/8W 5% 0805,resistor,47K,0805,,100,,47K_0603,RESC1608X60,,,104,6,low,4
ATMEGA328-AUR,IC0226,ATMEGA128-16AU MCU LF,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,,100,4,medium,2
L,ICSM0169,EL1883ISZ (tube),ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,100,1,medium,2
200^_0603,R0041,"200^ 5% 1/4"" AX",resistor,200^,RESC1608X60,,100,,200^_0603,RESC1608X60,,,100,2,low,4
10K_0603,R0052,RES 10K 2% 0.75W SIP,resistor,10K,RESC1608X60,,100,,10K_0603,RESC1608X60,,,100,2,low,400
2K_AXIAL,R0066,2K 1% 0.25W AXL,resistor,2K,SFR16S,,100,,2K_AXIAL,SFR16S,,,100,2,low,16
10^_0603,R0126,"10^, 5%, 5W",resistor,10^,RESC1608X60,,100,,10^_0603,RESC1608X60,,,100,2,low,38
680^_2512,R0164,680^ 5% 0.50W AXIAL LF,resistor,680^,AXIAL,,100,,680^_2512,RESC6332X71,,,100,2,low,3
0.1UF_0603_10%_16V,C0216,0.1uF 5% 630VDC Radial,capacitor,0.1UF,CAPC1608X85,,100,,0.1UF_0603_10%_16V,CAPC1608X85,,,80,4,low,253
47UF_25V_RAD,CSM0120,.47uF 25V X7R 0805,capacitor,47UF,0805,,100,,47UF_25V_RAD,UVR1E470MDD,,,80,1,low,1
L,D0086,Gen Purp 1.5A 600V DO204AL,diode,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,80,4,medium,2
GP_1000V_1A_SOD-123F,DSM0047,SCHOTTKY 40V 1A SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,,80,1,medium,13
10K_0603,RSM0244,10K 1% 1/4W 1206,resistor,10K,1206,,100,,10K_0603,RESC1608X60,,,80,1,low,400
22UF_1206_10V,CSM0072,CAP TANT 22uF 25V 10% CASE D,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,78,6,low,38
10UF_1206_10%_25V,CSM0073,CAP TANT 10uF 10V 10% CASE B,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,,78,6,low,10
150^_0603,RSM0054,RES 150R 1W 5% 2512,resistor,150^,2512,,100,,150^_0603,RESC1608X60,,,78,6,low,111
6.8K_AXIAL,R0038,6.8K 5% 0.25W AXIAL LF,resistor,6.8K,AXIAL,,100,,6.8K_AXIAL,SFR16S,,,75,2,high,1
4.7K_0603,R0327,RES 4.7K 1W 5%metfilm SEE OBS.,resistor,4.7K,RESC1608X60,,100,,4.7K_0603,RESC1608X60,,,75,1,low,28
1UF_0603,CSM0109,CAP Ceramic 1uF 50V 1206,capacitor,1UF,1206,,100,,1UF_0603,CAPC1608X85,,,60,1,low,18
5.2K_0805,RSM0166,5.2K 1/8W 1% 0805***OBS****,resistor,5.2K,0805,,100,,5.2K_0805,RESC2012X65,,,54,3,high,1
30^_1206,RSM0223,30^ 3/4W 1% 1206,resistor,30^,1206,,100,,30^_1206,RESC3216X70,,,54,5,high,1
22UF_1206_10V,CSM0074,CAP TANT 22uF 10V 10% CASE C,capacitor,22UF,WCAP-CSMH_1206_H1.6_R,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,52,6,low,38
10^_0603,RSM0055,RES 10R 1W 5% 2512,resistor,10^,2512,,100,,10^_0603,RESC1608X60,,,52,6,low,38
4.7UF_0805,C0145,4.7 uf 50V 20% radial cap,capacitor,4.7UF,CAPC2012X110,,100,,4.7UF_0805,CAPC2012X110,,,50,1,low,36
4.7K_0603,R0002,RES 4.7K 2% SIP 8pin 7res,resistor,4.7K,RESC1608X60,,100,,4.7K_0603,RESC1608X60,,,46,1,low,28
15K_0805_0.1%,R0309,15K^  1%  0.25W,resistor,15K,RESC2012X65,,100,,15K_0805_0.1%,RESC2012X65,,,46,2,low,2
ATMEGA328-AUR,IC0247,IC ATMEGA48V-10PU 28PDIP,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,,45,2,medium,2
PIC16F1513-I-SO,ICSM0167,PIC16F690-I/SS,ic,,MICROCHIP_PIC16F1513-I-SO_2,,100,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,,42,3,medium,2
L,ICSM0168,LM4040DEM3-5.0/NOPB,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,42,3,medium,2
8.2K_0603,RSM0365,2K 1% 1/10W 0603,resistor,2K,0603,,100,,8.2K_0603,RESC1608X60,,,42,5,medium,5
220UF_16V,C0219,220uF 20% 63V Radial,capacitor,220UF,CAPAE660X800N,,100,,220UF_16V,CAPAE660X800N,,,40,1,low,16
4.7UF_0805,CSM0160,4.7uF 25V X5R 0805,capacitor,4.7UF,0805,,100,,4.7UF_0805,CAPC2012X110,,,40,1,medium,36
22UF_1206_10V,CSM0213,22uF 35V X5R 1206,capacitor,22UF,1206,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,40,1,medium,38
