partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
27K_AXIAL,R0050,27K 5% 1/4W AXIAL LF,resistor,27K,AXIAL,,100,,27K_AXIAL,SFR16S,,,4030,39,high,3
150PF_0805,CSM0103,150pF 2kV 10% X7R 1808,capacitor,150PF,CAPC2012X110,,250,,150PF_0805,CAPC2012X110,,,4000,11,low,4
2N7002,TSM0004,TSM 2N7002 FET N 60V SOT23,transistor,,SOT23-FET,,100,,2N7002,SOT23-FET,,,3868,23,medium,6
SN74HCT08DRE4,IC0015,IC SN74HCT374N,ic,,IC_14-SOIC,,100,,SN74HCT08DRE4,IC_14-SOIC,,,3750,28,medium,4
1.62K_0805_0.1%,RSM0044,1.62K 1% 1/8W 0805,resistor,1.62K,0805,,100,,1.62K_0805_0.1%,RESC2012X65,,,3719,25,medium,30
PIC18F26K22-I/SS,ICSM0129,PIC18F26K22-I/SS,ic,,FLASH_28-SSOP,,100,,PIC18F26K22-I/SS,FLASH_28-SSOP,,,3608,49,medium,9
SN74HCT08DRE4,ICSM0139,SN74HCT08DR 4C-AND Gate SOIC14,ic,,IC_14-SOIC,,250,,SN74HCT08DRE4,IC_14-SOIC,,,3500,12,medium,4
750^_0805,RSM0291,750^ 1% 1/10W 0603,resistor,750^,0603,,250,,750^_0805,RESC2012X65,,,3460,13,low,2
FOD817ASD,ICSM0123,FOD817ASD OPTOISOLATOR,ic,,IC_4-SMD,,250,,FOD817ASD,IC_4-SMD,,,3388,12,medium,8
2.7K_0603,RSM0152,2.7K 1/10W 1% 0603,resistor,2.7K,0603,,250,,2.7K_0603,RESC1608X60,,,3387,17,high,31
1UF_50V_AXIAL,C0148,1uF 50V 20% cap axial ceramic,capacitor,1UF,AXIAL,,100,,1UF_50V_AXIAL,C410,,,3300,30,high,1
100UF_1206_6.3V,CSM0173,100uF 6.3V 20% 1206,capacitor,100UF,1206,,100,,100UF_1206_6.3V,WCAP-CSMH_1206_H1.6_R,,,3300,34,high,28
